Age,Nationality,Employment_Status,Income_Bin,Income_Numeric,Persona,Willingness_to_Invest,Budget_Bin,Budget_Numeric,Property_Type,Preferred_Areas,Purpose,Research_Sources,Analytics_Importance,Selection_Criteria,Amenities,Research_Duration,Challenges,Lost_Deal,Analytics_Met_Needs,Premium_for_Analytics,Online_Platform_Usage,Influencer,Viewing_Method,Data_Sharing,Analytics_Comfort,Waitlist_Interest
25-34,Expat – Arab,Employed,"10,000–20,000",12570,Investor,Likely,"2,000,000–5,000,000",3746240,Land,"Other,Dubai Marina",Self-use,"Property portals,Company recommendations,Agents",Somewhat important,"Price per sq.ft,Mortgage eligibility,Community amenities","Security,Shopping mall,School nearby,Swimming pool",Less than 1 week,Poor agent response,No,Somewhat,No,Rarely,Online reviews,Physical visit,No,3,Yes
25-34,GCC National,Employed,"10,000–20,000",16037,Agent,Unlikely,"1,000,000–2,000,000",1016130,Land,"Arabian Ranches,Business Bay,Palm Jumeirah",Self-use,Company recommendations,Very important,"Resale value,Price per sq.ft",Swimming pool,2–4 weeks,"Other,Lack of analytics/data,Too many listings",No,No,Yes,Monthly,Family,Physical visit,Yes,4,Yes
35-44,Expat – Asian,Employed,"10,000–20,000",17509,Investor,Unlikely,"500,000–1,000,000",954780,Apartment,Palm Jumeirah,Self-use,Friends/Family,Very important,"Price per sq.ft,Community amenities",Parking,1–3 months,Lack of analytics/data,Yes,No,Yes,Weekly,Friends,Online photos only,Yes,2,Maybe
18-24,Expat – Arab,Employed,"60,000+",89151,Agent,Likely,"1,000,000–2,000,000",908851,Apartment,"Downtown Dubai,Dubai Marina",Self-use,"Property portals,Friends/Family,Agents",Somewhat important,"Community amenities,Location,Rental yield","Gym,Shopping mall,Swimming pool",1–3 months,"Poor agent response,Lack of analytics/data,Not enough info on returns",No,No,Maybe,Monthly,Online reviews,Physical visit,No,4,No
18-24,Other,Homemaker,"20,000–40,000",26812,Investor,Likely,"1,000,000–2,000,000",1343545,Villa/Townhouse,"Dubai Marina,Downtown Dubai",Rental income,Other,Very important,"Location,Rental yield,Community amenities",Gym,1–3 months,"Fake listings,Confusing legal process,Not enough info on returns",Yes,No,Maybe,Monthly,Agent,Agent video call,Maybe,4,Yes
35-44,Expat – Arab,Employed,"10,000–20,000",12272,Renter,Neutral,"Below 500,000",1004190,Apartment,"Business Bay,Downtown Dubai,Other",Self-use,"Property portals,Social media",Very important,"Location,Resale value",Swimming pool,1–2 weeks,"Lack of analytics/data,Confusing legal process",Yes,Somewhat,No,Daily,Family,Virtual tour,Yes,3,Maybe
35-44,GCC National,Self-employed,"40,000–60,000",62847,First-time buyer,Unlikely,"500,000–1,000,000",882885,Apartment,"Arabian Ranches,Palm Jumeirah,Dubai Marina",Rental income,"Property portals,Friends/Family",Somewhat important,"Price per sq.ft,Other,Community amenities","Other,School nearby,Security",1–3 months,Poor agent response,No,No,Maybe,Weekly,Friends,Agent video call,Maybe,4,Yes
25-34,UAE National,Employed,"60,000+",105112,First-time buyer,Very likely,"Below 500,000",237057,Commercial,"Arabian Ranches,Business Bay",Rental income,"Property portals,Agents",Somewhat important,"Location,Community amenities,Developer reputation","Gym,Close to metro",2–4 weeks,Not enough info on returns,Yes,No,Maybe,Weekly,Online reviews,Physical visit,Maybe,1,Yes
25-34,Expat – Arab,Student,"Below 10,000",5851,Investor,Unlikely,"500,000–1,000,000",814871,Apartment,Other,Flip/Resell,Friends/Family,Somewhat important,"Location,Price per sq.ft,Rental yield","Parking,Swimming pool,School nearby,Shopping mall",More than 3 months,Lack of analytics/data,Yes,Yes,No,Rarely,Friends,Physical visit,Maybe,4,No
25-34,UAE National,Employed,"Below 10,000",5733,First-time buyer,Very unlikely,"500,000–1,000,000",687395,Apartment,"Dubai Marina,Palm Jumeirah",Rental income,"Property portals,Friends/Family,Agents",Very important,"Developer reputation,Community amenities","Close to metro,School nearby,Shopping mall,Parking",1–3 months,Not enough info on returns,No,No,Maybe,Weekly,Agent,Physical visit,Yes,4,Maybe
25-34,Expat – Arab,Employed,"20,000–40,000",28479,Investor,Very likely,"5,000,000+",9067460,Villa/Townhouse,"Palm Jumeirah,Dubai Marina",Vacation home,Social media,Neutral,"Location,Mortgage eligibility,Price per sq.ft","Shopping mall,Other,Gym,School nearby",1–3 months,Poor agent response,No,Somewhat,Maybe,Monthly,Family,Virtual tour,Maybe,4,Maybe
25-34,Expat – Arab,Employed,"40,000–60,000",52248,First-time buyer,Likely,"Below 500,000",341104,Villa/Townhouse,Arabian Ranches,Rental income,Property portals,Somewhat important,"Community amenities,Location","Gym,Security,Close to metro",1–3 months,Lack of analytics/data,No,Somewhat,Yes,Weekly,Family,Physical visit,No,4,Maybe
25-34,Expat – Western,Self-employed,"20,000–40,000",20816,Investor,Very unlikely,"Below 500,000",294729,Other,Dubai Marina,Self-use,"Property portals,Agents,Social media",Somewhat important,"Price per sq.ft,Rental yield,Resale value","Parking,Swimming pool",1–3 months,"Fake listings,Lack of analytics/data,Not enough info on returns",No,No,No,Monthly,Family,Physical visit,No,4,Maybe
25-34,GCC National,Employed,"Below 10,000",7786,Investor,Likely,"500,000–1,000,000",942902,Apartment,"Dubai Marina,Jumeirah Village Circle,Downtown Dubai",Rental income,Other,Very important,"Mortgage eligibility,Price per sq.ft,Location",Shopping mall,1–3 months,Lack of analytics/data,No,Somewhat,Maybe,Rarely,Social media influencers,Online photos only,No,4,Yes
25-34,GCC National,Employed,"10,000–20,000",19332,Renter,Neutral,"Below 500,000",259711,Apartment,"Jumeirah Village Circle,Arabian Ranches,Palm Jumeirah",Self-use,"Friends/Family,Property portals",Somewhat important,"Developer reputation,Community amenities","School nearby,Parking,Close to metro,Security",More than 3 months,"Too many listings,Other,Confusing legal process",No,Somewhat,No,Monthly,Family,Physical visit,Maybe,4,No
35-44,GCC National,Employed,"Below 10,000",4000,First-time buyer,Unlikely,"500,000–1,000,000",987963,Apartment,"Downtown Dubai,Business Bay,Arabian Ranches",Flip/Resell,"Agents,Property portals",Somewhat important,"Location,Rental yield,Community amenities",Gym,2–4 weeks,Fake listings,No,No,Yes,Weekly,Social media influencers,Physical visit,Maybe,1,Maybe
25-34,GCC National,Employed,"10,000–20,000",14477,First-time buyer,Likely,"1,000,000–2,000,000",1546453,Villa/Townhouse,"Dubai Marina,Palm Jumeirah",Self-use,"Property portals,Agents,Social media",Somewhat important,"Community amenities,Rental yield","Close to metro,School nearby,Shopping mall,Swimming pool",1–2 weeks,Fake listings,No,No,No,Rarely,Social media influencers,Agent video call,Yes,5,Yes
55+,Expat – Asian,Homemaker,"20,000–40,000",28500,First-time buyer,Unlikely,"1,000,000–2,000,000",1570762,Land,"Dubai Marina,Business Bay,Arabian Ranches",Self-use,"Property portals,Agents",Very important,"Location,Rental yield","Security,Shopping mall,Close to metro",1–3 months,"Not enough info on returns,Too many listings,Poor agent response",No,Yes,No,Rarely,Self,Online photos only,Yes,4,Maybe
25-34,Expat – Arab,Employed,"Below 10,000",9693,First-time buyer,Likely,"Below 500,000",379935,Villa/Townhouse,"Business Bay,Palm Jumeirah,Other",Self-use,"Friends/Family,Other,Agents",Very important,"Location,Resale value,Price per sq.ft","Shopping mall,Gym,Swimming pool,Parking",1–3 months,"Fake listings,Too many listings",No,Somewhat,Maybe,Weekly,Online reviews,Online photos only,No,1,No
45-54,Expat – Arab,Business owner,"Below 10,000",9695,Investor,Very likely,"500,000–1,000,000",904329,Other,"Downtown Dubai,Jumeirah Village Circle",Self-use,"Agents,Friends/Family",Somewhat important,"Rental yield,Price per sq.ft","Gym,Swimming pool,Close to metro",1–3 months,Fake listings,No,No,No,Rarely,Friends,Physical visit,Yes,1,No
35-44,Expat – Western,Self-employed,"20,000–40,000",28384,First-time buyer,Likely,"500,000–1,000,000",950274,Apartment,"Arabian Ranches,Business Bay,Dubai Marina",Self-use,"Property portals,Friends/Family",Very important,"Rental yield,Resale value",Close to metro,1–3 months,Fake listings,No,No,Yes,Monthly,Family,Online photos only,Maybe,5,No
25-34,Expat – Asian,Employed,"10,000–20,000",12951,Investor,Unlikely,"2,000,000–5,000,000",3224300,Apartment,Jumeirah Village Circle,Flip/Resell,"Property portals,Agents",Very important,"Resale value,Mortgage eligibility","Close to metro,Swimming pool,Shopping mall",1–2 weeks,Fake listings,Yes,No,Maybe,Rarely,Self,Online photos only,Yes,3,No
35-44,Expat – Asian,Employed,"Below 10,000",10902,Investor,Likely,"500,000–1,000,000",734828,Apartment,"Dubai Marina,Downtown Dubai",Other,Property portals,Very important,"Price per sq.ft,Developer reputation,Rental yield","Swimming pool,Other",2–4 weeks,"Fake listings,Not enough info on returns",No,No,Maybe,Weekly,Agent,Online photos only,No,5,No
45-54,Expat – Asian,Employed,"20,000–40,000",27671,Renter,Likely,"500,000–1,000,000",763064,Apartment,"Dubai Marina,Palm Jumeirah,Downtown Dubai",Rental income,"Property portals,Agents",Neutral,"Community amenities,Location","Gym,Security",1–2 weeks,Too many listings,No,Yes,Maybe,Daily,Self,Online photos only,Yes,5,Yes
45-54,Expat – Asian,Self-employed,"Below 10,000",5446,Agent,Likely,"500,000–1,000,000",811552,Apartment,"Dubai Marina,Jumeirah Village Circle,Business Bay",Self-use,Agents,Somewhat important,"Mortgage eligibility,Community amenities,Location","Shopping mall,Parking,Gym,Close to metro",More than 3 months,"Lack of analytics/data,Fake listings,Too many listings",No,Somewhat,Yes,Daily,Family,Virtual tour,Maybe,4,Maybe
25-34,Other,Employed,"20,000–40,000",21447,Renter,Neutral,"500,000–1,000,000",823295,Apartment,"Dubai Marina,Downtown Dubai",Self-use,Friends/Family,Somewhat important,"Resale value,Mortgage eligibility,Rental yield","School nearby,Other,Security,Parking",1–3 months,"Fake listings,Too many listings",Yes,No,Maybe,Weekly,Self,Virtual tour,Maybe,2,No
45-54,Expat – Asian,Employed,"20,000–40,000",23351,First-time buyer,Likely,"Below 500,000",200000,Apartment,"Business Bay,Dubai Marina",Self-use,"Agents,Property portals,Friends/Family",Neutral,"Mortgage eligibility,Developer reputation","Swimming pool,Close to metro",1–2 weeks,Poor agent response,No,No,Maybe,Weekly,Family,Virtual tour,Yes,4,Yes
18-24,Expat – Asian,Business owner,"Below 10,000",9681,Investor,Very unlikely,"500,000–1,000,000",821884,Villa/Townhouse,"Jumeirah Village Circle,Palm Jumeirah",Flip/Resell,"Property portals,Agents",Neutral,"Other,Rental yield,Resale value",Swimming pool,More than 3 months,Poor agent response,No,No,Maybe,Daily,Family,Virtual tour,No,3,Maybe
25-34,Expat – Arab,Employed,"10,000–20,000",17593,First-time buyer,Very likely,"500,000–1,000,000",733108,Villa/Townhouse,"Jumeirah Village Circle,Downtown Dubai",Self-use,"Agents,Property portals",Neutral,"Price per sq.ft,Mortgage eligibility,Rental yield","Close to metro,Swimming pool",2–4 weeks,"Fake listings,Too many listings",No,No,Maybe,Rarely,Friends,Online photos only,Maybe,2,Yes
55+,Expat – Arab,Employed,"20,000–40,000",26364,First-time buyer,Likely,"1,000,000–2,000,000",1448518,Apartment,Dubai Marina,Self-use,Property portals,Somewhat important,"Community amenities,Price per sq.ft,Other","School nearby,Shopping mall",1–3 months,"Too many listings,Fake listings",No,Somewhat,No,Rarely,Social media influencers,Physical visit,Yes,3,Maybe
25-34,Expat – Asian,Employed,"10,000–20,000",14644,First-time buyer,Likely,"2,000,000–5,000,000",3249927,Apartment,"Jumeirah Village Circle,Dubai Marina",Self-use,"Property portals,Agents,Friends/Family",Very important,"Location,Resale value","Close to metro,Parking,Security,Swimming pool",1–3 months,"Not enough info on returns,Fake listings,Lack of analytics/data",No,No,Maybe,Weekly,Family,Agent video call,Maybe,5,Yes
35-44,Expat – Asian,Employed,"20,000–40,000",28900,Investor,Very unlikely,"500,000–1,000,000",933987,Apartment,Downtown Dubai,Vacation home,Property portals,Somewhat important,"Price per sq.ft,Mortgage eligibility","Gym,Parking",1–3 months,Too many listings,No,Somewhat,Yes,Daily,Self,Agent video call,Yes,3,Maybe
45-54,Other,Employed,"10,000–20,000",17863,Investor,Very unlikely,"Below 500,000",424636,Villa/Townhouse,"Other,Palm Jumeirah",Rental income,Property portals,Somewhat important,"Rental yield,Developer reputation",Security,2–4 weeks,Confusing legal process,No,No,Maybe,Daily,Family,Online photos only,Maybe,5,Maybe
18-24,Expat – Asian,Employed,"20,000–40,000",16146,Renter,Very likely,"2,000,000–5,000,000",3158122,Apartment,Palm Jumeirah,Rental income,Agents,Neutral,"Resale value,Location",School nearby,2–4 weeks,"Too many listings,Poor agent response,Fake listings",No,No,Maybe,Rarely,Self,Virtual tour,No,4,Maybe
25-34,Expat – Asian,Employed,"Below 10,000",6480,Renter,Very likely,"500,000–1,000,000",736460,Apartment,Dubai Marina,Vacation home,"Property portals,Social media",Somewhat important,"Rental yield,Community amenities,Other","Parking,Swimming pool,Shopping mall,Security",Less than 1 week,"Poor agent response,Not enough info on returns",Yes,No,Yes,Rarely,Family,Physical visit,Yes,5,Yes
25-34,Other,Homemaker,"10,000–20,000",12874,Renter,Very likely,"500,000–1,000,000",1065903,Apartment,Business Bay,Vacation home,"Property portals,Social media",Very important,"Price per sq.ft,Developer reputation",School nearby,2–4 weeks,"Confusing legal process,Fake listings,Too many listings",No,No,No,Rarely,Online reviews,Physical visit,Yes,4,Maybe
25-34,Expat – Western,Employed,"Below 10,000",7642,Renter,Likely,"1,000,000–2,000,000",1399479,Apartment,Palm Jumeirah,Rental income,"Agents,Property portals,Friends/Family",Somewhat important,"Community amenities,Resale value",School nearby,2–4 weeks,"Fake listings,Too many listings",No,Yes,Maybe,Weekly,Family,Physical visit,No,4,Yes
25-34,Expat – Western,Self-employed,"20,000–40,000",34104,Renter,Very likely,"1,000,000–2,000,000",1482626,Apartment,Dubai Marina,Rental income,"Property portals,Company recommendations",Very important,"Price per sq.ft,Location,Rental yield","Other,Swimming pool",1–3 months,"Confusing legal process,Fake listings",No,Somewhat,No,Monthly,Family,Physical visit,Yes,1,Maybe
18-24,Expat – Arab,Self-employed,"Below 10,000",7630,First-time buyer,Very likely,"1,000,000–2,000,000",1547787,Other,"Jumeirah Village Circle,Palm Jumeirah,Business Bay",Rental income,"Agents,Friends/Family",Neutral,"Rental yield,Developer reputation,Location","Shopping mall,School nearby,Swimming pool,Close to metro",2–4 weeks,Fake listings,No,No,No,Monthly,Online reviews,Physical visit,Maybe,5,Maybe
25-34,Expat – Asian,Employed,"20,000–40,000",31112,Renter,Very likely,"500,000–1,000,000",834372,Apartment,Palm Jumeirah,Rental income,"Social media,Property portals",Somewhat important,"Price per sq.ft,Developer reputation,Resale value","Gym,Swimming pool,Parking,Other",1–2 weeks,"Poor agent response,Too many listings,Lack of analytics/data",No,No,Yes,Daily,Agent,Virtual tour,No,2,Maybe
25-34,Expat – Arab,Student,"40,000–60,000",85600,First-time buyer,Very likely,"1,000,000–2,000,000",1530424,Commercial,"Downtown Dubai,Jumeirah Village Circle,Business Bay",Self-use,Property portals,Very important,"Resale value,Location,Community amenities","Parking,School nearby,Swimming pool,Close to metro",1–2 weeks,Fake listings,Yes,Somewhat,Yes,Daily,Family,Physical visit,Yes,1,Yes
35-44,Expat – Asian,Employed,"Below 10,000",8618,First-time buyer,Neutral,"Below 500,000",360114,Apartment,"Dubai Marina,Palm Jumeirah,Business Bay",Self-use,"Property portals,Friends/Family",Somewhat important,"Location,Resale value,Community amenities","Security,Swimming pool,Shopping mall,Gym",1–3 months,"Confusing legal process,Too many listings,Poor agent response",No,Somewhat,Yes,Rarely,Self,Physical visit,No,2,Yes
25-34,Expat – Asian,Student,"Below 10,000",6879,First-time buyer,Very likely,"Below 500,000",504620,Villa/Townhouse,"Arabian Ranches,Other,Jumeirah Village Circle",Vacation home,"Property portals,Agents",Not at all important,"Location,Community amenities","Swimming pool,Security,Gym",Less than 1 week,Not enough info on returns,No,No,Maybe,Rarely,Family,Virtual tour,Maybe,3,Yes
25-34,Expat – Asian,Employed,"10,000–20,000",15469,First-time buyer,Unlikely,"500,000–1,000,000",827377,Villa/Townhouse,"Other,Downtown Dubai,Dubai Marina",Self-use,"Agents,Friends/Family",Somewhat important,"Developer reputation,Price per sq.ft,Community amenities",Parking,1–2 weeks,"Confusing legal process,Poor agent response",No,Somewhat,Yes,Weekly,Online reviews,Online photos only,Yes,4,Maybe
